graph_id,min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
244,0.3,1,5,3,323,2,4,12
245,0.3,1,6,0,122,2,3,12
246,0.3,1,6,1,211,2,3,12
247,0.3,1,6,2,259,2,3,12
248,0.3,1,6,3,305,2,3,12
249,0.3,1,7,0,15,0,0,0
250,0.3,1,7,1,33,0,0,0
251,0.3,1,7,2,42,0,0,0
252,0.3,1,7,3,231,2,3,12
253,0.3,1,8,0,3,0,0,0
254,0.3,1,8,1,3,0,0,0
255,0.3,1,8,2,3,0,0,0
256,0.3,1,8,3,15,2,2,12
257,0.3,1,9,0,3,0,0,0
258,0.3,1,9,1,3,0,0,0
259,0.3,1,9,2,3,0,0,0
260,0.3,1,9,3,13,2,2,12
261,0.3,1,10,0,3,0,0,0
262,0.3,1,10,1,3,0,0,0
263,0.3,1,10,2,3,0,0,0
264,0.3,1,10,3,7,2,2,12
265,0.3,2,5,0,21,4,4,12
266,0.3,2,5,1,104,4,4,12
267,0.3,2,5,2,1251,4,4,12
268,0.3,2,5,3,3025,0,2,12
269,0.3,2,6,0,16,4,4,12
270,0.3,2,6,1,69,4,4,12
271,0.3,2,6,2,544,4,4,12
272,0.3,2,6,3,3025,0,2,12
273,0.3,2,7,0,11,4,4,12
274,0.3,2,7,1,34,4,4,12
275,0.3,2,7,2,229,4,4,12
276,0.3,2,7,3,3025,0,2,12
277,0.3,2,8,0,5,4,4,12
278,0.3,2,8,1,12,4,4,12
279,0.3,2,8,2,21,4,4,12
280,0.3,2,8,3,156,4,5,12
281,0.3,2,9,0,2,2,2,12
282,0.3,2,9,1,4,2,2,12
283,0.3,2,9,2,4,2,2,12
284,0.3,2,9,3,44,4,4,12
285,0.3,2,10,0,2,2,2,12
286,0.3,2,10,1,2,2,2,12
287,0.3,2,10,2,2,2,2,12
288,0.3,2,10,3,16,4,4,12
289,0.3,3,5,0,184,2,3,12
290,0.3,3,5,1,296,2,4,12
291,0.3,3,5,2,348,2,4,12
292,0.3,3,5,3,396,2,4,12
293,0.3,3,6,0,122,2,3,12
294,0.3,3,6,1,214,2,3,12
295,0.3,3,6,2,271,2,3,12
296,0.3,3,6,3,326,2,3,12
297,0.3,3,7,0,15,0,0,0
298,0.3,3,7,1,35,0,0,0
